"id","cyberball","focus","ostracism_condition","self_other_condition","ios_condition","ios_outcome","outcome","cause_self","cause_other","stability_value","locus_value","stability","locus"
1,2,2,"excluded","green","group_green_other",4,1,NA,"The friend is aggressive in personality.",2,5,"stability_other1","locus_other1"
1,2,2,"excluded","green","group_green_other",4,2,NA,"They have procrastinated too much.",2.5,1,"stability_other2","locus_other2"
1,2,2,"excluded","green","group_green_other",4,3,NA,"The member is awkward.",1.5,1,"stability_other3","locus_other3"
1,2,2,"excluded","green","group_green_other",4,4,NA,"The green member has a completely different personality and interests.",1,1,"stability_other4","locus_other4"
1,2,2,"excluded","green","group_green_other",4,5,NA,"The friend does not deserve help from the member.",2,5,"stability_other5","locus_other5"
1,2,2,"excluded","green","group_green_other",4,6,NA,"The member pushes doubts aside when it comes to bigger desires.",3.5,1,"stability_other6","locus_other6"
1,2,2,"excluded","green","group_green_other",4,7,NA,"They have friends who reflect their kind-heartedness.",2,1,"stability_other7","locus_other7"
1,2,2,"excluded","green","group_green_other",4,8,NA,"Pity is placed on the member.",2.5,3,"stability_other8","locus_other8"
1,2,2,"excluded","green","group_green_other",4,9,NA,"The member has incorporated skills that are well practiced into said project.",1.5,2,"stability_other9","locus_other9"
1,2,2,"excluded","green","group_green_other",4,10,NA,"The green member has become more social.",4.5,1,"stability_other10","locus_other10"
2,1,1,"included","yellow","group_yellow_own",5,3,"Maybe the member has the fear of public speaking and was not well prepared for this talk. If their message is not concise, and they bored them to death, then that will be the outcome.",NA,4.5,4,"stability_self3","locus_self3"
2,1,1,"included","yellow","group_yellow_own",5,4,"This could happen because of the may biases that we all have. Maybe it's the way the person looks, or how they talk, or the color of their skin. This is also based on the fact that the person could be having a bad day. There are many unknowns in human interactions and it is impossible to be able to pin them down indefinitely.",NA,3,4,"stability_self4","locus_self4"
2,1,1,"included","yellow","group_yellow_own",5,5,"The main cause can be two fold; the person that comes with the problem to the group placed themselves in that situation or some unknown factor. This also depends on how close the friend is to the people of the group. If it is a random stranger-no one cares- but if it is someone that they have built a relationship with, then might try to help. If the friend can solve their own problems, then they are not equipped to be a true friend at all.",NA,2.5,4,"stability_self5","locus_self5"
2,1,1,"included","yellow","group_yellow_own",5,6,"It was well deserved and it is was they rightfully deserve.",NA,4,4,"stability_self6","locus_self6"
2,1,1,"included","yellow","group_yellow_own",5,7,"Compliments are good and even better when they are sincere. There are also instances when the person that is doing the complimenting wants something out of that individual, but it is hard to gauge if this is the case. Mind games are played all the time at many different levels.",NA,3.5,3,"stability_self7","locus_self7"
2,1,1,"included","yellow","group_yellow_own",5,8,"What did the person do to get the raise? If they put in the work and the hours then it is well deserved. The raise was the outcome of them doing something right.",NA,4,4,"stability_self8","locus_self8"
2,1,1,"included","yellow","group_yellow_own",5,9,"That is because of work on their part. They deserve the praise.",NA,3,3,"stability_self9","locus_self9"
2,1,1,"included","yellow","group_yellow_own",5,10,"This could be because of an unknown connection that they might have with the other individuals. There are many factors that come into this and the fact that the way someone reaction time says a little about the person.",NA,4,4,"stability_self10","locus_self10"
3,2,2,"excluded","green","group_green_other",5,1,NA,"They don't like green",3,2,"stability_other1","locus_other1"
3,2,2,"excluded","green","group_green_other",5,2,NA,"They didn't work hard enough",2,2,"stability_other2","locus_other2"
3,2,2,"excluded","green","group_green_other",5,3,NA,"Their talk wasn't good or was controversial",2,2,"stability_other3","locus_other3"
3,2,2,"excluded","green","group_green_other",5,4,NA,"They were rude.",3,2,"stability_other4","locus_other4"
3,2,2,"excluded","green","group_green_other",5,5,NA,"They don't like green",2,2,"stability_other5","locus_other5"
